file,id,status,n_faces,method,width,height,face_px,det_score,sharpness,brightness,contrast,yaw,quality,duplicate_of
65.jpg,65,ok,1,pad+det640,256,256,139,0.903,410.8,144.4,47.8,1.14,99.1,
66.jpg,66,ok,1,pad+det640,256,256,138,0.89,374.9,125.3,45.7,1.07,99.2,
67.jpg,67,ok,1,pad+det640,256,256,136,0.886,972.2,143.7,53.5,1.43,96.7,
68.jpg,68,ok,1,pad+det640,256,256,140,0.907,539.0,134.3,49.7,1.29,98.1,
69.jpg,69,ok,1,pad+det640,256,256,145,0.851,437.0,140.4,42.0,1.27,95.9,
7.jpg,7,ok,1,pad+det640,256,256,146,0.897,631.7,121.2,35.3,1.78,92.6,
70.jpg,70,ok,1,pad+det640,256,256,140,0.889,375.6,132.9,46.3,1.17,98.5,
71.jpg,71,ok,1,pad+det640,256,256,143,0.873,570.9,153.9,52.3,1.05,98.8,
72.jpg,72,ok,1,pad+det640,256,256,139,0.877,517.2,147.5,57.7,1.15,98.3,
73.jpg,73,ok,1,pad+det640,256,256,136,0.868,391.3,134.7,59.1,1.06,98.5,
74.jpg,74,ok,1,pad+det640,256,256,161,0.884,381.1,145.9,49.8,2.47,89.7,
75.jpg,75,ok,1,pad+det640,256,256,133,0.83,547.8,86.2,48.9,1.35,95.4,
76.jpg,76,ok,1,pad+det640,256,256,136,0.872,421.2,130.6,68.4,1.02,98.9,
77.jpg,77,ok,1,pad+det640,256,256,144,0.886,318.7,131.8,52.0,1.51,96.1,
78.jpg,78,ok,1,pad+det640,256,256,141,0.875,455.3,124.5,58.1,1.49,95.9,
79.jpg,79,ok,1,pad+det640,256,256,133,0.875,658.2,130.6,60.9,1.19,97.9,
8.jpg,8,ok,1,pad+det640,256,256,139,0.827,345.6,130.1,55.3,1.45,94.6,
80.jpg,80,ok,1,pad+det640,256,256,131,0.836,175.4,130.3,45.6,1.13,97.0,
81.jpg,81,ok,1,pad+det640,256,256,134,0.88,408.9,114.7,52.6,1.06,98.9,
82.jpg,82,ok,1,pad+det640,256,256,132,0.858,370.7,107.5,50.7,1.12,97.8,
83.jpg,83,ok,1,pad+det640,256,256,150,0.893,230.8,140.5,28.1,1.24,94.4,
84.jpg,84,ok,1,pad+det640,256,256,146,0.899,318.8,88.4,39.5,2.22,90.6,
85.jpg,85,ok,1,pad+det640,256,256,140,0.901,486.6,108.2,53.0,1.16,98.9,
86.jpg,86,ok,1,pad+det640,256,256,128,0.864,423.6,158.9,47.5,1.3,96.8,
87.jpg,87,ok,1,pad+det640,256,256,144,0.877,576.8,158.2,39.6,1.72,93.2,
88.jpg,88,ok,1,pad+det640,256,256,147,0.831,322.9,146.4,30.8,1.6,90.5,
89.jpg,89,ok,1,pad+det640,256,256,128,0.833,614.4,140.4,53.8,1.03,97.6,
9.jpg,9,ok,1,pad+det640,256,256,145,0.885,312.2,168.8,41.4,1.11,97.9,
90.jpg,90,ok,1,pad+det640,256,256,139,0.873,361.6,125.8,55.1,1.63,94.9,
91.jpg,91,ok,1,pad+det640,256,256,116,0.794,1204.7,101.0,38.2,2.01,87.2,
92.jpg,92,ok,1,pad+det640,256,256,138,0.873,444.1,95.2,41.2,1.8,92.9,
93.jpg,93,ok,1,pad+det640,256,256,143,0.882,552.0,143.1,50.1,1.39,96.8,
94.jpg,94,ok,1,pad+det640,256,256,155,0.889,424.2,145.7,50.9,1.92,93.5,
95.jpg,95,ok,1,pad+det640,256,256,138,0.892,377.2,138.6,60.3,1.0,99.7,
96.jpg,96,ok,1,pad+det640,256,256,138,0.873,328.7,133.8,56.2,1.06,98.7,
97.jpg,97,ok,1,pad+det640,256,256,154,0.888,590.9,100.2,64.5,1.82,94.1,
98.jpg,98,ok,1,pad+det640,256,256,136,0.884,436.7,132.3,60.5,1.08,99.0,
99.jpg,99,ok,1,pad+det640,256,256,127,0.881,712.8,125.7,50.5,1.35,97.0,
